time,open,high,low,close,tick_volume,tick_volume,spread
2025-10-24 10:30:00+00:00,4053.71,4057.99,4050.48,4057.08,1985,0,9
2025-10-24 10:35:00+00:00,4057.02,4064.31,4055.76,4059.01,1518,0,21
2025-10-24 10:40:00+00:00,4059.02,4059.03,4050.9,4056.53,1035,0,20
2025-10-24 10:45:00+00:00,4056.85,4067.71,4055.93,4065.45,1362,0,14
2025-10-24 10:50:00+00:00,4065.45,4069.65,4063.15,4063.54,1141,0,10
2025-10-24 10:55:00+00:00,4063.53,4066.85,4062.42,4065.46,1285,0,15
2025-10-24 11:00:00+00:00,4065.24,4069.0,4062.49,4068.75,1252,0,16
2025-10-24 11:05:00+00:00,4068.75,4072.63,4066.73,4072.09,1848,0,22
2025-10-24 11:10:00+00:00,4072.07,4072.48,4069.39,4071.69,1116,0,18
2025-10-24 11:15:00+00:00,4071.73,4073.01,4069.81,4071.16,1105,0,11
2025-10-24 11:20:00+00:00,4071.25,4073.43,4069.23,4069.42,859,0,7
2025-10-24 11:25:00+00:00,4069.47,4071.45,4068.95,4069.83,1183,0,12
2025-10-24 11:30:00+00:00,4069.89,4073.71,4068.04,4070.17,1215,0,18
2025-10-24 11:35:00+00:00,4070.18,4072.13,4065.59,4066.17,1471,0,1
2025-10-24 11:40:00+00:00,4066.2,4070.81,4065.56,4069.83,1378,0,18
2025-10-24 11:45:00+00:00,4069.83,4072.17,4069.44,4070.58,872,0,16
2025-10-24 11:50:00+00:00,4070.57,4070.76,4056.58,4057.73,1800,0,15
2025-10-24 11:55:00+00:00,4057.68,4061.63,4054.3,4060.91,1715,0,11
2025-10-24 12:00:00+00:00,4061.06,4070.86,4059.66,4069.81,1425,0,10
2025-10-24 12:05:00+00:00,4069.82,4070.43,4065.05,4066.38,1428,0,21
2025-10-24 12:10:00+00:00,4066.38,4067.61,4065.62,4066.95,833,0,1
2025-10-24 12:15:00+00:00,4066.95,4067.7,4066.09,4066.2,562,0,5
2025-10-24 12:20:00+00:00,4066.19,4066.19,4063.73,4064.85,940,0,9
2025-10-24 12:25:00+00:00,4064.86,4064.97,4058.58,4059.26,968,0,6
2025-10-24 12:30:00+00:00,4059.25,4063.02,4054.75,4057.2,1244,0,7
2025-10-24 12:35:00+00:00,4057.0,4061.96,4054.8,4058.74,1284,0,7
2025-10-24 12:40:00+00:00,4058.72,4061.57,4058.22,4058.48,650,0,19
2025-10-24 12:45:00+00:00,4058.43,4060.6,4056.6,4059.01,1094,0,15
2025-10-24 12:50:00+00:00,4058.76,4058.91,4055.94,4057.47,786,0,16
2025-10-24 12:55:00+00:00,4057.97,4058.35,4053.63,4054.96,1116,0,15
2025-10-24 13:00:00+00:00,4054.79,4057.24,4043.97,4046.42,2297,0,1
2025-10-24 13:05:00+00:00,4046.45,4060.99,4045.34,4060.19,2201,0,15
2025-10-24 13:10:00+00:00,4060.19,4061.96,4056.35,4058.91,2192,0,2
2025-10-24 13:15:00+00:00,4058.89,4061.49,4057.51,4058.89,1356,0,13
